Expression: painstaking work; travail de fourmi
walking on eggshells; marcher sur des œufs
Their relationship was fragile, she felt like she was always walking on eggshells around him.; Leur relation était fragile, elle avait l'impression de toujours marcher sur des œufs en sa présence.

with flying colors; avec brio
She passed her driving test with flying colors, only making one minor mistake.; Elle a réussi son examen de conduite avec brio, ne commettant qu'une seule petite erreur.

on the same page; sur la même longueur d'onde
It's important for the team to be on the same page in order to achieve our project goals.; Il est important que l'équipe soit sur la même longueur d'onde pour atteindre nos objectifs de projet.

out of the blue; comme un coup de tonnerre
His resignation came out of the blue, nobody was expecting it.; Sa démission est arrivée comme un coup de tonnerre, personne ne s'y attendait.

back to square one; revenir à la case départ
After hours of work, a technical issue forced the team to go back to square one on the project.; Après des heures de travail, un problème technique a contraint l'équipe à revenir à la case départ sur le projet.

Expression: properly; à juste titre
He showed me how to properly tie a knot.; Il m'a montré comment nouer un noeud correctement.
She always makes sure to properly store her valuable jewelry.; Elle veille toujours à ranger correctement ses bijoux précieux.
I was taught to properly address my elders with respect.; On m'a appris à m'adresser correctement aux aînés avec respect.
It's important to properly ventilate the room for fresh air.; Il est important de ventiler correctement la pièce pour avoir de l'air frais.
The chef demonstrated how to properly season the dish.; Le chef a montré comment assaisonner correctement le plat.
She learned how to properly sew a button back on a shirt.; Elle a appris à coudre correctement un bouton sur une chemise.
The manual explains how to properly assemble the furniture pieces.; Le manuel explique comment assembler correctement les pièces de mobilier.
It is necessary to properly label the jars for organization in the kitchen.; Il est nécessaire d'étiqueter correctement les pots pour l'organisation dans la cuisine.
The mechanic demonstrated how to properly change a flat tire.; Le mécanicien a montré comment changer correctement un pneu crevé.
She knows how to properly apply makeup for a flawless look.; Elle sait appliquer correctement le maquillage pour un look impeccable.

Expression: under the stars; à la belle étoile
Under the stars, we roasted marshmallows over the campfire; Sous les étoiles, nous avons fait griller des chamallows au-dessus du feu de camp.
They danced under the stars until the early hours of the morning; Ils ont dansé sous les étoiles jusqu'aux premières heures du matin.
The couple enjoyed a romantic dinner under the stars on the beach; Le couple a apprécié un dîner romantique sous les étoiles sur la plage.
As the music played, they lay on the grass under the stars; Alors que la musique jouait, ils se sont allongés dans l'herbe sous les étoiles.
The children camped in the backyard under the stars for the first time; Les enfants ont campé dans le jardin pour la première fois sous les étoiles.
We stargazed under the stars and tried to identify different constellations; Nous avons observé les étoiles et essayé d'identifier différentes constellations.
The outdoor concert was held under the stars in the amphitheater; Le concert en plein air s'est tenu sous les étoiles dans l'amphithéâtre.
While camping in the mountains, we slept under the stars every night; En camping dans les montagnes, nous avons dormi sous les étoiles chaque nuit.
The romantic proposal took place under the stars by the lake; La proposition romantique a eu lieu sous les étoiles près du lac.
The astronomy club organized a night observation event under the stars; Le club d'astronomie a organisé un événement d'observation nocturne sous les étoiles.

Expression: ie; à savoir
a fish out of water; a fish out of water
Sarah felt like a fish out of water at the high society gala, surrounded by wealthy and influential people.; Sarah se sentait comme un poisson hors de l'eau à la haute société gala, entourée de gens riches et influents.
hit the nail on the head; hit the nail on the head
Sheila hit the nail on the head with her suggestion to improve the company's marketing strategy.; Sheila a mis dans le mille avec sa suggestion pour améliorer la stratégie marketing de l'entreprise.
a penny for your thoughts; a penny for your thoughts
"Hey, what are you thinking about?" - "Oh, just daydreaming." - "Come on, a penny for your thoughts!"; - "Hé, à quoi tu penses?" - "Oh, juste à rêvasser." - "Allez, un sou pour tes pensées!"
burn the midnight oil; burn the midnight oil
In order to meet the deadline, the team had to burn the midnight oil and work through the night.; Pour respecter le délai, l'équipe a dû brûler la chandelle par les deux bouts et travailler toute la nuit.
cost an arm and a leg; coûter les yeux de la tête
Buying a brand new car can cost an arm and a leg, especially with all the extra features.; Acheter une voiture neuve peut coûter les yeux de la tête, surtout avec toutes les options supplémentaires.
cry over spilled milk; pleurer sur du lait renversé
There's no use crying over spilled milk; let's focus on finding a solution instead.; Inutile de pleurer sur du lait renversé; concentrons-nous plutôt sur trouver une solution.
hit the hay; aller au lit
After a long day at work, all I want to do is hit the hay and get a good night's sleep.; Après une longue journée de travail, tout ce que je veux faire est d'aller au lit et avoir une bonne nuit de sommeil.
piece of cake; un jeu d'enfant
The math test was a piece of cake, I finished it in just 20 minutes.; L'examen de maths était un jeu d'enfant, je l'ai terminé en seulement 20 minutes.
cost an arm and a leg; coûter les yeux de la tête
Buying a designer handbag can cost an arm and a leg, but some people are willing to splurge on luxury items.; Acheter un sac à main de designer peut coûter les yeux de la tête, mais certaines personnes sont prêtes à dépenser pour des articles de luxe.
